id;i_d_user;name;last_name;email;phone_number;plate_number;status;type
1;12535;Games grey calculate;Ledner;Aiyana49@gmail.com;Bolivia;black XML;false;Branding
2;11041;orange Unbranded Ball;Bahringer;Adaline17@hotmail.com;PNG;static;true;navigate strategize proactive
3;76925;architect partnerships Intranet;Harvey;Jeromy.Larkin@gmail.com;California;Idaho Accountability;true;synthesize
4;10888;TCP;Cormier;Pierce_Botsford@yahoo.com;panel Way Unbranded;Advanced;true;Personal system Tactics
5;26994;intermediate whiteboard;Cormier;Rolando.Bosco@yahoo.com;pixel Gibraltar algorithm;Producer bypassing Manager;true;Plastic Afghani Pants
6;24295;New;Cremin;Beau.Ernser@yahoo.com;bandwidth haptic bluetooth;Concrete;true;black
7;16788;Indiana card;Bailey;Brandt_OReilly49@hotmail.com;connecting metrics;deposit sexy;false;intangible
8;17513;directional;Heidenreich;Elijah8@gmail.com;protocol Metal;connecting program;false;platforms
9;43862;Borders;Sporer;Mabelle.Bailey@yahoo.com;Agent applications Fresh;regional;false;Congo Future
10;47610;next-generation;Kihn;Theron.King4@gmail.com;Indiana;client-driven interface;false;Valleys cross-platform Metal
